丁, uni
健, ⿰亻<建>⿺廴聿
偶, ⿰亻禺
偷, ⿰亻<俞>⿱<CDP-8AFC>⿵𠆢一<刖>⿰月刂
偿, ⿰亻<尝>⿱<龸>⿱⺌冖<云>⿱二厶
傀, ⿰亻鬼
傅, ⿰亻<尃>⿱甫寸
傍, ⿰亻<旁>⿱<CDP-8BEC>⿱<CDP-8BAE>⿱亠丷冖方
储, ⿰亻<诸>⿰讠<者>⿸耂日
催, ⿰亻<崔>⿱山隹
傲, ⿰亻<敖>⿰⿱土方攵
傻, ⿰亻<𡕩>⿱<𠒆>⿱<囟>⿱丿<龱>⿴囗㐅儿夊
像, ⿰亻<象>⿳𠂊<CDP-8BDE>⿴囗丨𧰨
僚, ⿰亻尞
僧, ⿰亻<曽>⿳丷田日
僵, ⿰亻<畺>⿳⿱一田⿱一田一
僻, ⿰亻<辟>⿰𡰪<辛>⿱立十
儒, ⿰亻<需>⿱雨而
儡, ⿰亻<畾>⿱田⿰田田
儿, ⿰丿乚
允, ⿱厶儿
元, ⿱一兀
兄, ⿱口儿
充, ⿱<𠫓>⿱亠厶儿
先, ⿱𠂒儿
光, ⿳⺌一儿
克, ⿱<古>⿱十口儿
免, ⿳𠂊<CDP-8BDE>⿴囗丨儿
兑, ⿱丷<兄>⿱口儿
兔, ⿷免丶
党, ⿱<龸>⿱⺌冖<兄>⿱口儿
兜, ⿱⿲<CDP-8CBD>;白<CDP-8C78>;儿
兢, ⿰<克>⿱<古>⿱十口儿<克>⿱<古>⿱十口儿
全, ⿱𠆢<王>⿱一土
公, ⿱八厶
六, ⿱亠八
兰, ⿱丷<三>⿳一一一
共, ⿱龷八
兴, ⿳⺍一八
兵, ⿱丘八
其, ⿱<CDP-8B72>⿱<CDP-88C8>;一八
具, ⿳目一八
典, ⿱<CDP-89E0>;八
养, ⿳䒑夫<CDP-8BF5>⿰丿丨
兼, ⿱䒑<CDP-8CDE>⿻<CDP-8BAB>⿴<CDP-8C78>;一<CDP-8CB5>;
兽, ⿳丷田<𠮛>⿱一口
冀, ⿱<北>⿰<CDP-8BC5>;匕<異>⿱田<共>⿱龷八
内, ⿻冂人
冈, ⿵冂㐅
再, ⿱一冉
冒, ⿱日目
冕, ⿱<CDP-8A78>⿵<CDP-8BC0>;二免
冗, ⿱冖几
写, ⿱冖<与>⿻<CDP-8BBF>;一
军, ⿱冖车
农, ⿻冖𧘇
冠, ⿱冖<㝴>⿺元寸
冤, ⿱冖<兔>⿷免丶
冬, ⿱夂<⺀>⿱丶丶
冯, ⿰冫马
冰, ⿰冫水
冲, ⿰冫<中>⿻口丨
决, ⿰冫<夬>⿻𠃍大
况, ⿰冫<兄>⿱口儿
冶, ⿰冫<台>⿱厶口
冷, ⿰冫令
冻, ⿰冫东
净, ⿰冫争
凄, ⿰冫<妻>⿱<CDP-89E5>⿻十<CDP-8BAB>⿴<CDP-8C78>;一女
准, ⿰冫隹
凉, ⿰冫<京>⿳亠口小
凌, ⿰冫<夌>⿱<圥>⿱土儿夂
减, ⿰冫<咸>⿵<戌>⿵戊一口
凑, ⿰冫⿱<𡗗>⿻<三>⿳一一一人夭
凛, ⿰冫<禀>⿱<㐭>⿱亠<回>⿴囗口示
凝, ⿰冫<疑>⿰<𠤕>⿱匕矢⿱龴疋
凡, ⿵几丶
凤, ⿵<𠘨>⿰丿⺄又
凫, ⿹<CDP-8964>;几
凭, ⿱<任>⿰亻壬几
凯, ⿰<岂>⿱山己几
凰, ⿵<𠘨>⿰丿⺄<皇>⿱白<王>⿱一土
凳, ⿱<登>⿱癶豆几
凶, ⿶凵㐅
出, ⿱<屮>⿻凵丿凵
击, ⿱<CDP-8BF1>⿻二丨凵
函, ⿶凵⿻<丂>⿱一㇉<CDP-89AE>⿱丷八
凿, ⿶凵<丵>⿱<业>⿱<CDP-85F0>;一<𢆉>⿱丷干
刀, ⿹𠃌丿
刁, ⿹𠃌㇀
刃, ⿻<刀>⿹𠃌丿丶
分, ⿱八<刀>⿹𠃌丿
切, ⿰<七>⿻<CDP-8DE4>;乚<刀>⿹𠃌丿
刊, ⿰干刂
刑, ⿰<开>⿱一廾刂
划, ⿰戈刂
列, ⿰<歹>⿱一<夕>⿴𠂊丶刂
刘, ⿰文刂
则, ⿰贝刂
刚, ⿰<冈>⿵冂㐅刂
创, ⿰<仓>⿱𠆢㔾刂
初, ⿰衤<刀>⿹𠃌丿
删, ⿰册刂
判, ⿰<半>⿱丷<CDP-8BF1>⿻二丨刂
刨, ⿰包刂
利, ⿰禾刂
别, ⿰<另>⿱口力刂
刮, ⿰舌刂
到, ⿰<至>⿱<𠫔>⿱一厶土刂
制, ⿰<CDP-89EC>⿻牛冂刂
刷, ⿰<𡰯>⿸尸巾刂
券, ⿱<龹>⿱丷夫<刀>⿹𠃌丿
刹, ⿰<杀>⿱㐅朩刂
刺, ⿰朿刂
刻, ⿰亥刂
刽, ⿰<会>⿱𠆢<云>⿱二厶刂
剂, ⿰<齐>⿱文<CDP-8BF5>⿰丿丨刂
剃, ⿰<弟>⿱丷<𢎨>⿹<弔>⿻弓丨丿刂
削, ⿰<肖>⿱⺌月刂
前, ⿱䒑<刖>⿰月刂
剑, ⿰佥刂
剔, ⿰<易>⿱日勿刂
剖, ⿰<咅>⿱立口刂
剥, ⿰<录>⿱彐氺刂
剧, ⿰<居>⿸尸<古>⿱十口刂
剩, ⿰<乘>⿻禾<北>⿰<CDP-8BC5>;匕刂
剪, ⿱<前>⿱䒑<刖>⿰月刂<刀>⿹𠃌丿
副, ⿰<畐>⿱<𠮛>⿱一口田刂
割, ⿰<害>⿳宀龶口刂
剿, ⿰<巢>⿱<巛>⿲𡿨𡿨𡿨<果>⿻日木刂
劈, ⿱<辟>⿰𡰪<辛>⿱立十<刀>⿹𠃌丿
力, ⿻丿𠃌
劝, ⿰又力
办, ⿻力八
功, ⿰工力
加, ⿰力口
务, ⿱夂力
劣, ⿱<少>⿱小丿力
动, ⿰<云>⿱二厶力
助, ⿰且力
努, ⿱<奴>⿰女又力
劫, ⿰<去>⿱土厶力
励, ⿰<厉>⿸厂<万>⿱一<CDP-8B6C>⿰丿𠃌力
劲, ⿰𢀖力
劳, ⿱<𫇦>⿱艹冖力
势, ⿱<执>⿰扌<丸>⿻九丶力
勃, ⿰<孛>⿱<CDP-8D52>⿱十冖子力
勇, ⿱⿱龴田力
勉, ⿺免力
勋, ⿰<员>⿱口贝力
勒, ⿰革力
勘, ⿰<甚>⿱<CDP-88C8>;<匹>⿷匚儿力
募, ⿱<莫>⿱艹<旲>⿱日大力
勤, ⿰<堇>⿱廿<CDP-8A6D>⿻口龶力
勺, ⿹勹丶
勾, ⿹勹厶
勿, ⿹勹<CDP-89A6>⿰丿丿
匀, ⿹勹冫
包, ⿹勹己
匆, ⿻勿丶
匈, ⿹勹<凶>⿶凵㐅
匕, ⿺乚丿
化, ⿰亻匕
北, ⿰<CDP-8BC5>;匕
匙, ⿺<是>⿱日<𤴓>⿱一龰匕
匠, ⿷匚斤
匣, ⿷匚甲
匪, ⿷匚非
匹, ⿷匚儿
区, ⿷匚㐅
医, ⿷匚矢
匾, ⿷匚<扁>⿸户𠕁
匿, ⿷匚<若>⿱艹<右>⿸𠂇口
千, ⿱丿十
升, ⿱丿廾
午, ⿱𠂉十
半, ⿱丷<CDP-8BF1>⿻二丨
华, ⿱<化>⿰亻匕十
协, ⿰十<办>⿻力八
卑, ⿱<甶>⿱丿田⿻丿十
卒, ⿱<𠅃>⿱亠<从>⿰人人十
卓, ⿱⺊<早>⿱日十
单, ⿱丷<CDP-8BD9>⿻甲一
卖, ⿱十<买>⿱乛头
南, ⿱十<CDP-8BDC>⿵冂<𢆉>⿱丷干
博, ⿰十⿱⿺<𤰔>⿻一由丶寸
占, ⿱⺊口
卡, ⿱<上>⿱⺊一卜
卢, ⿱⺊尸
卤, ⿱⺊<龱>⿴囗㐅
卦, ⿰<圭>⿱土土卜
卧, ⿰臣卜
卫, ⿱<CDP-8A60>⿱𠃌丨一
印, ⿰<CDP-8CAC>;卩
危, ⿸<厃>⿱𠂊厂㔾
即, ⿰<CDP-8B7C>;卩
却, ⿰<去>⿱土厶卩
卵, ⿰<𠂑>⿴𠂎丶<卪>⿴卩丶
卷, ⿱<𠔉>⿱八夫㔾
卸, ⿰𦈢卩
卿, ⿰𠂎<即>⿰<CDP-8B7C>;卩
厅, ⿸厂丁
历, ⿸厂力
厉, ⿸厂<万>⿱一<CDP-8B6C>⿰丿𠃌
压, ⿸厂<圡>⿷土丶
厌, ⿸厂犬
厕, ⿸厂<则>⿰贝刂
厘, ⿸厂里
厚, ⿸厂<㫗>⿱日子
原, ⿸厂<CDP-8BC4>⿱白小
厢, ⿸厂<相>⿰木目
厦, ⿸厂<夏>⿱<𦣻>⿱一自夂
厨, ⿸厂⿰豆寸
去, ⿱土厶
县, ⿱且厶
叁, ⿱厶⿱大<三>⿳一一一
参, ⿱厶⿱大彡
叉, ⿴又丶
友, ⿸𠂇又
双, ⿰又又
反, ⿸厂又
叔, ⿰<尗>⿱<上>⿱⺊一小又
取, ⿸耳又
受, ⿱<CDP-8BB8>⿱爫冖又
变, ⿱<亦>⿱亠<CDP-8CB5>;又
叙, ⿰余又
叛, ⿰<半>⿱丷<CDP-8BF1>⿻二丨反
叠, ⿱<叒>⿱又<双>⿰又又<冝>⿱冖且
古, ⿱十口
句, ⿹勹口
另, ⿱口力
叨, ⿰口<刀>⿹𠃌丿
只, ⿱口八
叫, ⿰口丩
召, ⿱<刀>⿹𠃌丿口
叭, ⿰口八
叮, ⿰口丁
可, ⿹丁口
台, ⿱厶口
右, ⿸𠂇口
叶, ⿰口十
号, ⿱口<丂>⿱一㇉
司, ⿹𠃌<𠮛>⿱一口
叹, ⿰口又
叼, ⿰口<刁>⿹𠃌㇀
叽, ⿰口几
吁, ⿰口于
吃, ⿰口<乞>⿱𠂉乙
各, ⿱夂口
吆, ⿰口幺
合, ⿱<CDP-8AFC>⿵𠆢一口
吉, ⿱<士>⿱十一口
吊, ⿱口巾
同, ⿵<𠔼>⿵冂一口
名, ⿱<夕>⿴𠂊丶口
后, ⿸<𠂋>⿸𠂆一口
吏, ⿻一史
吐, ⿰口土
向, ⿱丿冋
吓, ⿰口<下>⿱一卜
吕, ⿱口口
吗, ⿰口马
君, ⿸尹口
吝, ⿱文口
吞, ⿱<天>⿱一大口
吟, ⿰口今
吠, ⿰口犬
否, ⿱<不>⿱一<CDP-8665>;口
吧, ⿰口巴
吨, ⿰口<屯>⿻丿<𡳾>⿻凵乚
吩, ⿰口<分>⿱八<刀>⿹𠃌丿
含, ⿱今口
听, ⿰口斤
吭, ⿰口<亢>⿱亠几
吮, ⿰口<允>⿱厶儿
启, ⿸<戶>⿱丿尸口
吱, ⿰口<支>⿱十又
吴, ⿱口<天>⿱一大
吵, ⿰口<少>⿱小丿
吸, ⿰口及
吹, ⿰口欠
吻, ⿰口勿
吼, ⿰口<孔>⿰子乚
呀, ⿰口牙
呆, ⿱口木
呈, ⿱口<王>⿱一土
告, ⿱𠂒口
呐, ⿰口<内>⿻冂人
呕, ⿰口<区>⿷匚㐅
员, ⿱口贝
呛, ⿰口<仓>⿱𠆢㔾
呜, ⿰口<乌>⿹<CDP-89DE>;一
呢, ⿰口<尼>⿸尸匕
周, ⿵⺆<𠮷>⿱土口
味, ⿰口未
呵, ⿰口可
呻, ⿰口申
呼, ⿰口乎
命, ⿱<CDP-8AFC>⿵𠆢一<叩>⿰口卩
咆, ⿰口包
和, ⿰禾口
咏, ⿰口永
咐, ⿰口<付>⿰亻寸
咒, ⿱<吅>⿰口口几
咕, ⿰口<古>⿱十口
咖, ⿰口<加>⿰力口
咙, ⿰口<龙>⿻<尤>⿺尢丶丿
咧, ⿰口<列>⿰<歹>⿱一<夕>⿴𠂊丶刂
咨, ⿱<次>⿰冫欠口
咪, ⿰口米
咬, ⿰口交
咱, ⿰口自
咳, ⿰口亥
咸, ⿵<戌>⿵戊一口
咽, ⿰口<因>⿴囗大
哀, ⿳亠口𧘇
品, ⿱口<吅>⿰口口
哄, ⿰口<共>⿱龷八
哆, ⿰口<多>⿱<夕>⿴𠂊丶<夕>⿴𠂊丶
哈, ⿰口<合>⿱<CDP-8AFC>⿵𠆢一口
响, ⿰口<向>⿱丿冋
哎, ⿰口<艾>⿱艹<乂>⿻丿乀
哑, ⿰口<亚>⿱一<业>⿱<CDP-85F0>;一
哗, ⿰口<华>⿱<化>⿰亻匕十
哟, ⿰口<约>⿰纟<勺>⿹勹丶
哥, ⿱可可
哨, ⿰口<肖>⿱⺌月
哩, ⿰口里
哪, ⿰口<那>⿰<CDP-89FA>⿻<刀>⿹𠃌丿二阝
哭, ⿱<吅>⿰口口犬
哮, ⿰口<孝>⿱耂子
哲, ⿱<折>⿰扌斤口
哺, ⿰口甫
哼, ⿰口<亨>⿳亠口<了>⿱乛亅
唁, ⿰口言
唆, ⿰口<夋>⿱<允>⿱厶儿夂
唇, ⿱辰口
唉, ⿰口<矣>⿱厶矢
唐, ⿸广⿱<CDP-884D>⿻<CDP-8BAB>⿴<CDP-8C78>;一丨口
唠, ⿰口<劳>⿱<𫇦>⿱艹冖力
唤, ⿰口<奂>⿳𠂊冂大
唧, ⿰口<即>⿰<CDP-8B7C>;卩
唬, ⿰口<虎>⿸<虍>⿸⿱⺊<CDP-88E2>;<七>⿻<CDP-8DE4>;乚儿
售, ⿱隹口
唯, ⿰口隹
唱, ⿰口<昌>⿱日日
唾, ⿰口垂
啃, ⿰口<肯>⿱止月
啄, ⿰口<豕>⿱一𧰨
商, ⿱<CDP-8BAE>⿱亠丷冏
啊, ⿰口<阿>⿰阝可
啡, ⿰口非
啤, ⿰口<卑>⿱<甶>⿱丿田⿻丿十
啥, ⿰口<舍>⿱𠆢舌
啦, ⿰口<拉>⿰扌立
啸, ⿰口肃
啼, ⿰口帝
喂, ⿰口<畏>⿳田一<CDP-8CC6>⿰𠄌⿺乀丿
善, ⿱⿱羊䒑口
喇, ⿰口<剌>⿰束刂
喉, ⿰口<侯>⿰亻<CDP-8BC7>⿱<CDP-8BC8>⿱𠃍一矢
喊, ⿰口<咸>⿵<戌>⿵戊一口
喘, ⿰口<耑>⿱山而
喜, ⿱<壴>⿱十豆口
喝, ⿰口⿱日<匂>⿹勹匕
喧, ⿰口<宣>⿱宀<亘>⿱一<旦>⿱日一
喷, ⿰口<贲>⿱<卉>⿱十廾贝
喻, ⿰口<俞>⿱<CDP-8AFC>⿵𠆢一<刖>⿰月刂
嗅, ⿰口<臭>⿱自大
嗓, ⿰口<桑>⿱<叒>⿱又<双>⿰又又木
嗜, ⿰口<耆>⿱<老>⿸耂匕日
嗡, ⿰口<翁>⿱<公>⿱八厶<羽>⿰习习
嗤, ⿰口<蚩>⿱<㞢>⿱<屮>⿻凵丿一虫
嗦, ⿰口<索>⿱<CDP-8D52>⿱十冖<糸>⿱幺小
嗽, ⿰口<欶>⿰束欠
嘀, ⿰口<啇>⿱<CDP-8BAE>⿱亠丷⿵冂<古>⿱十口
嘁, ⿰口<戚>⿵戊<尗>⿱<上>⿱⺊一小
嘉, ⿱<壴>⿱十豆<加>⿰力口
嘱, ⿰口<属>⿸尸禹
嘲, ⿰口<朝>⿰<𠦝>⿱十<早>⿱日十月
嘴, ⿰口<觜>⿱此角
嘶, ⿰口<斯>⿰其斤
嘹, ⿰口尞
嘿, ⿰口黑
器, ⿳<吅>⿰口口大<吅>⿰口口
噩, ⿻<王>⿱一土<㗊>⿱<吅>⿰口口<吅>⿰口口
噪, ⿰口<喿>⿱<品>⿱口<吅>⿰口口木
嚎, ⿰口<豪>⿱<CDP-8C4D>⿳亠口冖<豕>⿱一𧰨
嚣, ⿳<吅>⿰口口页<吅>⿰口口
嚷, ⿰口<襄>⿳亠⿱<吅>⿰口口<𠀎>⿱井一𧘇
嚼, ⿰口<爵>⿳爫罒<𡬠>⿰<CDP-8B7C>;寸
囊, ⿱⿱<CDP-8DDD>⿻一<中>⿻口丨冖⿱<CDP-8CA3>⿱<吅>⿰口口<𠀎>⿱井一𧘇
囚, ⿴囗人
四, ⿴囗儿
回, ⿴囗口
因, ⿴囗大
团, ⿴囗才
囤, ⿴囗<屯>⿻丿<𡳾>⿻凵乚
园, ⿴囗元
困, ⿴囗木
囱, ⿱丿⿴囗夊
围, ⿴囗韦
固, ⿴囗<古>⿱十口
国, ⿴囗玉
图, ⿴囗<冬>⿱夂<⺀>⿱丶丶
圃, ⿴囗甫
圆, ⿴囗<员>⿱口贝
圈, ⿴囗<卷>⿱<𠔉>⿱八夫㔾
土, ⿱十一
圣, ⿱又土
在, ⿸<CDP-88F1>;土
地, ⿰土也
场, ⿰土𠃓
圾, ⿰土及
址, ⿰土止
均, ⿰土匀
坊, ⿰土方
坎, ⿰土欠
坏, ⿰土<不>⿱一<CDP-8665>;
坐, ⿻土<从>⿰人人
坑, ⿰土<亢>⿱亠几
块, ⿰土<夬>⿻𠃍大
坚, ⿱⿰<〢>⿰丨丨又土
坛, ⿰土<云>⿱二厶
坝, ⿰土贝
坞, ⿰土<乌>⿹<CDP-89DE>;一
坟, ⿰土文
坠, ⿱<队>⿰阝人土
坡, ⿰土皮
坤, ⿰土申
坦, ⿰土<旦>⿱日一
坪, ⿰土<平>⿻干丷
坯, ⿰土<丕>⿱<不>⿱一<CDP-8665>;一
坷, ⿰土可
垂, ⿳丿<CDP-876E>;一
垃, ⿰土立
垄, ⿱<龙>⿻<尤>⿺尢丶丿土
型, ⿱<刑>⿰<开>⿱一廾刂土
垒, ⿱<厽>⿱厶<厸>⿰厶厶土
垛, ⿰土朵
垢, ⿰土<后>⿸<𠂋>⿸𠂆一口
垦, ⿱艮土
垫, ⿱<执>⿰扌<丸>⿻九丶土
垮, ⿰土<夸>⿱大亏
埂, ⿰土更
埃, ⿰土<矣>⿱厶矢
埋, ⿰土里
城, ⿰土<成>⿵戊𠃌
域, ⿰土<或>⿹戈⿱口一
埠, ⿰土<阜>⿱<𠂤>⿱丿㠯十
培, ⿰土<咅>⿱立口
基, ⿱其土
堂, ⿳<龸>⿱⺌冖口土
堆, ⿰土隹
堕, ⿱<陏>⿰阝<有>⿸𠂇月土
堡, ⿱<保>⿰亻<呆>⿱口木土
堤, ⿰土<是>⿱日<𤴓>⿱一龰
堪, ⿰土<甚>⿱<CDP-88C8>;<匹>⿷匚儿
堰, ⿰土<匽>⿷匚<妟>⿱日女
堵, ⿰土<者>⿸耂日
塌, ⿰土<𦐇>⿱日<羽>⿰习习
塑, ⿱<朔>⿰<屰>⿱䒑<屮>⿻凵丿月土
塔, ⿰土<荅>⿱艹<合>⿱<CDP-8AFC>⿵𠆢一口
塘, ⿰土<唐>⿸广⿱<CDP-884D>⿻<CDP-8BAB>⿴<CDP-8C78>;一丨口
塞, ⿱<𡨄>⿱宀⿱<𠀎>⿱井一八土
填, ⿰土<真>⿱十具
境, ⿰土<竟>⿱<音>⿱立日儿
墅, ⿱<野>⿰里予
墓, ⿱<莫>⿱艹<旲>⿱日大土
墙, ⿰土<啬>⿱<CDP-8A65>⿻土丷<回>⿴囗口
增, ⿰土曾
墨, ⿱<黒>⿱里灬土
墩, ⿰土<敦>⿰<享>⿳亠口子攵
壁, ⿱<辟>⿰𡰪<辛>⿱立十土
壕, ⿰土<豪>⿱<CDP-8C4D>⿳亠口冖<豕>⿱一𧰨
壤, ⿰土<襄>⿳亠⿱<吅>⿰口口<𠀎>⿱井一𧘇
士, ⿱十一
壮, ⿰丬<士>⿱十一
声, ⿱<士>⿱十一𠃜
壳, ⿱<CDP-8D44>⿳<士>⿱十一冖一几
壶, ⿳<士>⿱十一冖<业>⿱<CDP-85F0>;一
壹, ⿳<士>⿱十一冖豆
备, ⿱夂田
夏, ⿱<𦣻>⿱一自夂
夕, ⿴𠂊丶
外, ⿰<夕>⿴𠂊丶卜
多, ⿱<夕>⿴𠂊丶<夕>⿴𠂊丶
夜, ⿱亠⿰亻<CDP-89F3>⿴夂丶
够, ⿰<句>⿹勹口<多>⿱<夕>⿴𠂊丶<夕>⿴𠂊丶
大, ⿻一人
天, ⿱一大
太, ⿵大丶
夫, ⿻二人
夭, ⿱丿大
夯, ⿱大力
失, ⿰丿夫
夷, ⿻大弓
夸, ⿱大亏
夹, ⿻夫丷
夺, ⿱大寸
奄, ⿱大<电>⿻日乚
奇, ⿱大可
奈, ⿱大示
奉, ⿱<𡗗>⿻<三>⿳一一一人<CDP-8BF1>⿻二丨
奋, ⿱大田
奏, ⿱<𡗗>⿻<三>⿳一一一人<天>⿱一大
契, ⿱⿰龶<刀>⿹𠃌丿大
奔, ⿱大<卉>⿱十廾
奕, ⿱<亦>⿱亠<CDP-8CB5>;大
奖, ⿱⿰丬<夕>⿴𠂊丶大
套, ⿱大镸
奠, ⿱<酋>⿱丷酉大
奢, ⿱大<者>⿸耂日
奥, ⿳丿⿵冂米大
奴, ⿰女又
奶, ⿰女<乃>⿹𠄎丿
奸, ⿰女干
她, ⿰女也
好, ⿰女子
如, ⿰女口
妄, ⿱<亡>⿱亠𠃊女
妆, ⿰丬女
妇, ⿰女彐
妈, ⿰女马
妒, ⿰女<戶>⿱丿尸
妓, ⿰女<支>⿱十又
妖, ⿰女夭
妙, ⿰女<少>⿱小丿
妥, ⿱爫女
妨, ⿰女方
妹, ⿰女未
妻, ⿱<CDP-89E5>⿻十<CDP-8BAB>⿴<CDP-8C78>;一女
姆, ⿰女母
姊, ⿰女<𠂔>⿹<CDP-87C2>⿻<CDP-875E>⿱一㇉丨丿
始, ⿰女<台>⿱厶口
姐, ⿰女且
姑, ⿰女<古>⿱十口
姓, ⿰女生
委, ⿱禾女
姚, ⿰女兆
姜, ⿱<𦍌>⿱䒑土女
姥, ⿰女<老>⿸耂匕
姨, ⿰女<夷>⿻大弓
姻, ⿰女<因>⿴囗大
姿, ⿱<次>⿰冫欠女
威, ⿵<戌>⿵戊一女
娃, ⿰女<圭>⿱土土
娄, ⿱米女
娇, ⿰女<乔>⿱夭<CDP-8BF5>⿰丿丨
娘, ⿰女<良>⿱丨艮
娜, ⿰女<那>⿰<CDP-89FA>⿻<刀>⿹𠃌丿二阝
娩, ⿰女免
娱, ⿰女<吴>⿱口<天>⿱一大
