怀 zuodian-dian-shu-heng-pie-shu-dian
掂 heng-shugou-ti-dian-heng-shupie-shu-heng-shu-hengzhe-heng
暄 shu-hengzhe-heng-heng-dian-zuodian-henggou-heng-shu-hengzhe-heng-heng-heng
榆 heng-shu-pie-dian-pie-na-heng-shu-hengzhegou-heng-heng-shu-shugou
䴉 shu-hengzhe-shu-shu-heng-heng-shu-hengzhe-heng-pie-shuti-pie-dian-pie-shu-hengzhe-heng-heng-heng-hengzhegou-zuodian-dian-dian-dian
沈 dian-dian-ti-zuodian-henggou-shupie-shuwangou
個 pie-shu-shu-hengzhegou-heng-shu-shu-hengzhe-heng-heng
匍 pie-hengzhegou-heng-shu-hengzhegou-heng-heng-shu-dian
湃 dian-dian-ti-pie-heng-heng-shupie-heng-heng-heng-heng-shu
嘏 heng-shu-shu-hengzhe-heng-hengzhe-heng-shu-heng-heng-hengzhe-heng-hengpie-na
疙 dian-heng-shupie-dian-ti-pie-heng-hengzhewangou
引 hengzhe-heng-shuzhezhegou-shu
应 dian-heng-shupie-dian-dian-pie-heng
戗 pie-dian-hengzhegou-shuwangou-heng-xiegou-pie-dian
攙 heng-shugou-ti-pie-hengpie-shu-hengzhe-heng-heng-shuti-pie-shuwangou-pie-hengpie-shu-hengzhe-heng-pie-shuwangou-dian
枚 heng-shu-pie-dian-pie-heng-pie-na
檜 heng-shu-pie-dian-pie-na-heng-shu-hengzhe-shu-dian-pie-heng-shu-hengzhegou-heng-heng
丟 pingpie-heng-shu-heng-piezhe-dian
峄 shu-shuzhe-shu-hengpie-na-heng-heng-shu
儡 pie-shu-shu-hengzhe-heng-shu-heng-shu-hengzhegou-heng-shu-heng-shu-hengzhe-heng-shu-heng
吣 shu-hengzhe-heng-zuodian-wogou-dian-dian
厢 heng-shupie-heng-shu-pie-dian-shu-hengzhegou-heng-heng-heng
眥 shu-heng-shu-ti-pie-shuwangou-shu-hengzhe-heng-heng-heng
皤 pie-shu-hengzhe-heng-heng-pingpie-dian-pie-heng-shu-pie-na-shu-hengzhe-heng-shu-heng
崩 shu-shuzhe-shu-shupie-hengzhegou-heng-heng-shupie-hengzhegou-heng-heng
怫 zuodian-dian-shu-hengzhe-heng-shuzhezhegou-shupie-shu
循 pie-pie-shu-hengpie-shupie-heng-shu-shu-hengzhe-heng-heng-heng
抬 heng-shugou-ti-piezhe-dian-shu-hengzhe-heng
是 shu-hengzhe-heng-heng-heng-shu-heng-pie-na
械 heng-shu-pie-dian-heng-heng-shupie-shu-xiegou-pie-dian
氳 pie-heng-heng-hengzhexiegou-shu-hengzhegou-pie-dian-heng-shu-hengzhe-shu-shu-heng
殲 heng-pie-hengpie-dian-pie-dian-pie-dian-heng-shu-heng-heng-heng-shu-heng-heng-heng-ti-xiegou-pie-dian
漵 dian-dian-ti-pie-dian-heng-heng-shugou-zuodian-dian-pie-heng-pie-na
溟 dian-dian-ti-zuodian-henggou-shu-hengzhe-heng-heng-dian-heng-pie-dian
刷 hengzhe-heng-shupie-shu-hengzhegou-shu-shu-shugou
冶 dian-ti-piezhe-dian-shu-hengzhe-heng
甹 shu-hengzhe-heng-shu-heng-heng-shuzhezhegou
㒸 dian-pie-heng-pie-wangou-pie-pie-pie-na
琏 heng-heng-shu-ti-heng-piezhe-heng-shu-dian-hengzhezhepie-pingna
濂 dian-dian-ti-dian-heng-shupie-dian-pie-heng-hengzhe-heng-heng-shu-shu-pie-na
痊 dian-heng-shupie-dian-ti-pie-na-heng-heng-shu-heng
曄 shu-hengzhe-heng-heng-shu-heng-zuodian-heng-heng-heng-shu-pie-heng-heng-shu
橇 heng-shu-pie-dian-pingpie-heng-heng-shuwangou-pingpie-heng-heng-shuti-pingpie-heng-heng-shuwangou
浉 dian-dian-ti-shu-shupie-heng-shu-hengzhegou-shu
俊 pie-shu-piezhe-dian-pie-dian-pie-hengpie-na
獍 pie-wangou-pie-dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-pie-shuwangou
璣 heng-heng-shu-ti-piezhe-piezhe-dian-piezhe-piezhe-dian-heng-pie-dian-xiegou-pie-dian
嗎 shu-hengzhe-heng-heng-shu-heng-heng-shu-hengzhegou-zuodian-dian-dian-dian
契 heng-heng-ti-shu-hengzhegou-pie-heng-pie-na
烹 dian-heng-shu-hengzhe-heng-henggou-hengpie-zuodian-dian-dian-dian
寒 dian-zuodian-henggou-heng-heng-shu-shu-heng-pie-na-dian-dian
录 hengzhe-heng-heng-shugou-dian-ti-pie-na
煸 dian-pie-shupie-dian-dian-hengzhe-heng-shupie-shu-hengzhegou-heng-shu-shu
教 heng-shu-heng-pie-hengpie-wangou-ti-pie-heng-pie-na
擘 hengzhe-heng-pie-shu-hengzhe-heng-dian-heng-dian-pie-heng-heng-shu-pingpie-heng-heng-shugou
柚 heng-shu-pie-dian-shu-hengzhegou-heng-shu-heng
璎 heng-heng-shu-ti-shu-hengzhe-shupie-dian-shu-hengzhe-shupie-dian-piedian-pie-heng
也 hengzhegou-shu-shuwangou
淞 dian-dian-ti-heng-shu-pie-dian-pie-na-piezhe-dian
呣 shu-hengzhe-heng-shuzhe-hengzhegou-dian-heng-dian
叢 shu-shu-dian-pie-heng-dian-pie-heng-heng-shu-heng-shu-shu-heng-heng-ti-hengpie-na
睥 shu-hengzhe-heng-heng-heng-pie-shu-hengzhe-heng-heng-pie-heng-shu
囤 shu-hengzhegou-heng-shuzhe-shu-shuwangou-heng
婧 piedian-pie-heng-heng-heng-shu-heng-shu-hengzhegou-heng-heng
姦 piedian-pie-heng-piedian-pie-heng-piedian-pie-heng
嵩 shu-shuzhe-shu-dian-heng-shu-hengzhe-heng-shu-hengzhegou-shu-hengzhe-heng
峨 shu-shuzhe-shu-pie-heng-shugou-ti-xiegou-pie-dian
恫 zuodian-dian-shu-shu-hengzhegou-heng-shu-hengzhe-heng
忪 zuodian-dian-shu-pie-na-piezhe-dian
捭 heng-shugou-ti-pie-shu-hengzhe-heng-heng-pie-heng-shu
括 heng-shugou-ti-pingpie-heng-shu-shu-hengzhe-heng
景 shu-hengzhe-heng-heng-dian-heng-shu-hengzhe-heng-shugou-zuodian-dian
旮 pie-hengzhewangou-shu-hengzhegou-heng-heng
楱 heng-shu-pie-dian-heng-heng-heng-shupie-na-heng-heng-pie-dian
棰 heng-shu-pie-dian-pingpie-heng-shu-heng-shu-shu-heng-heng
併 pie-shu-dian-pie-heng-heng-shupie-shu
滴 dian-dian-ti-dian-heng-dian-pie-shu-hengzhegou-heng-shu-shu-hengzhe-heng
剷 dian-heng-pie-dian-heng-shupie-pie-heng-heng-shu-ti-shu-shugou
凶 pie-dian-shuzhe-shu
畹 shu-hengzhe-heng-shu-heng-dian-zuodian-henggou-pie-hengpie-dian-hengzhegou-shuwangou
基 heng-shu-shu-heng-heng-heng-pie-na-heng-shu-heng
孽 heng-shu-pie-pie-shu-hengzhe-heng-hengzhe-heng-dian-heng-dian-pie-heng-heng-shu-hengpie-shugou-heng
广 dian-heng-shupie
巾 shu-hengzhegou-shu
片 shupie-shu-heng-hengzhe
愀 zuodian-dian-shu-pingpie-heng-shu-pie-dian-dian-pie-shupie-na
斃 dian-pie-shu-hengzhe-shu-pie-dian-pie-heng-pie-na-heng-pie-hengpie-dian-pie-shuwangou
漪 dian-dian-ti-pie-wangou-pie-heng-shupie-dian-heng-shu-hengzhe-heng-shugou
殇 heng-pie-hengpie-dian-pie-heng-hengzhezhezhe勾-pie-pie
沉 dian-dian-ti-zuodian-henggou-shupie-hengzhewangou
冋 shu-hengzhegou-shu-hengzhe-heng
上 shu-heng-heng
劍 pie-dian-heng-shu-hengzhe-heng-shu-hengzhe-heng-pie-dian-pie-dian-shu-shugou
后 pingpie-shupie-heng-shu-hengzhe-heng
皂 pie-shu-hengzhe-heng-heng-heng-shuwangou
底 dian-heng-shupie-pingpie-shuti-heng-xiegou-dian
弔 hengzhe-heng-shuzhezhegou-shu
瑗 heng-heng-shu-ti-pingpie-dian-dian-pie-heng-heng-pie-hengpie-na
怖 zuodian-dian-shu-heng-pie-shu-hengzhegou-shu
撙 heng-shugou-ti-dian-pie-heng-shu-hengzhe-shupie-shuwan-heng-heng-heng-shugou-dian
攘 heng-shugou-ti-dian-heng-shu-hengzhe-heng-shu-hengzhe-heng-heng-heng-shu-shu-heng-pie-shuti-pie-na
榛 heng-shu-pie-dian-heng-heng-heng-shupie-na-pingpie-heng-shu-pie-dian
牛 pie-heng-heng-shu
玄 dian-heng-piezhe-piezhe-dian
的 pie-shu-hengzhe-heng-heng-pie-hengzhegou-dian
疣 dian-heng-shupie-dian-ti-heng-pie-shuwangou-dian
嚥 shu-hengzhe-heng-heng-shu-shu-heng-shu-hengzhe-heng-shu-heng-ti-pie-shuwangou-zuodian-dian-dian-dian
圤 heng-shu-ti-shu-dian
岩 shu-shuzhe-shu-heng-pie-shu-hengzhe-heng
憫 zuodian-dian-shu-shu-hengzhe-heng-heng-shu-hengzhegou-heng-heng-dian-heng-pie-dian
犍 pie-heng-shu-ti-hengzhe-heng-heng-heng-heng-shu-hengzhezhepie-na
枯 heng-shu-pie-dian-heng-shu-shu-hengzhe-heng
椰 heng-shu-pie-dian-heng-shu-shu-heng-heng-ti-hengpiewangou-shu
亵 dian-heng-heng-shugou-ti-pie-hengzhexiegou-dian-pie-shuti-pie-na
伴 pie-shu-dian-pie-heng-heng-shu
厷 heng-pie-piezhe-dian
唸 shu-hengzhe-heng-pie-na-dian-hengzhe-zuodian-wogou-dian-dian
妻 heng-hengzhe-heng-heng-shu-piedian-pie-heng
媽 piedian-pie-heng-heng-shu-heng-heng-shu-hengzhegou-zuodian-dian-dian-dian
尾 hengzhe-heng-shupie-pingpie-heng-heng-shuwangou
灿 zuodian-pie-shupie-dian-shu-shuzhe-shu
旃 dian-heng-hengzhegou-pie-pie-heng-shupie-hengzhegou-dian-heng
扂 dian-hengzhe-heng-shupie-shu-heng-shu-hengzhe-heng
犪 pie-heng-shu-ti-dian-pie-heng-shu-heng-shu-ti-pie-shu-hengzhegou-heng-heng-heng-hengzhe-heng-shuwangou-pie-dian-pie-hengpie-na
框 heng-shu-pie-dian-heng-heng-heng-shu-heng-shuzhe
泉 pie-shu-hengzhe-heng-heng-shugou-hengpie-pie-na
浈 dian-dian-ti-shu-heng-shu-hengzhe-shupie-dian
凋 dian-ti-shupie-hengzhegou-heng-shu-heng-shu-hengzhe-heng
湊 dian-dian-ti-heng-heng-heng-shupie-na-heng-heng-pie-dian
狍 pie-wangou-pie-pie-hengzhegou-hengzhe-heng-shuwangou
卌 heng-shupie-shu-shu-shu
埏 heng-shu-ti-pingpie-shu-heng-shuzhe-hengzhezhepie-pingna
瞌 shu-hengzhegou-heng-heng-heng-heng-shu-heng-piezhe-dian-shu-hengzhe-shu-shu-heng
壑 shu-heng-zuodian-henggou-heng-pie-dian-pie-dian-shu-hengzhe-heng-hengpie-na-heng-shu-heng
奐 pie-hengpie-shu-hengzhe-pie-dian-heng-pie-na
彔 piezhe-hengpie-heng-shugou-dian-ti-pie-na
敘 pie-dian-heng-heng-shugou-zuodian-dian-pie-heng-pie-na
槛 heng-shu-pie-dian-shu-shu-pie-heng-dian-shu-hengzhe-shu-shu-heng
晚 shu-hengzhegou-heng-heng-pie-hengpie-shu-hengzhe-heng-pie-shuwangou
Name:1 dtype:object
俟 pie-shu-piezhe-dian-pie-heng-heng-pie-na
汞 heng-shu-heng-shugou-hengpie-pie-na
嗣 shu-hengzhe-heng-shu-hengzhegou-heng-shu-shu-hengzhegou-heng-shu-hengzhe-heng
牢 dian-zuodian-henggou-pie-heng-heng-shu
盥 pie-shu-heng-heng-shugou-hengpie-pie-dian-piedian-heng-heng-shu-hengzhe-shu-shu-heng
坤 heng-shu-ti-shu-hengzhe-heng-heng-shu
寧 dian-zuodian-henggou-pie-wogou-dian-dian-shu-hengzhe-shu-shu-heng-heng-shugou
犟 hengzhe-heng-shuzhezhegou-shu-hengzhe-heng-shu-hengzhe-heng-shu-ti-dian-pie-heng-heng-shu
拭 heng-shugou-ti-heng-heng-shu-ti-xiegou-dian
柯 heng-shu-pie-dian-heng-shu-hengzhe-heng-shugou
棱 heng-shu-pie-dian-heng-shu-heng-pie-dian-pie-hengpie-na
淳 dian-dian-ti-dian-heng-shu-hengzhe-heng-hengpie-wangou-heng
仵 pie-shu-pie-heng-heng-shu
佴 pie-shu-heng-shu-shu-heng-heng-heng
号 shu-hengzhe-heng-heng-shuzhezhegou
偶 pie-shu-shu-hengzhe-heng-heng-shu-hengzhegou-shu-ti-dian
啸 shu-hengzhe-heng-hengzhe-heng-heng-shu-shupie-shu-pie-dian
姻 piedian-pie-heng-shu-hengzhegou-heng-shupie-dian-heng
忿 pie-na-hengzhegou-pie-zuodian-wogou-dian-dian
屾 shu-shuzhe-shu-shu-shuzhe-shu
态 heng-pie-na-dian-zuodian-wogou-dian-dian
痪 dian-heng-shupie-dian-ti-pie-hengpie-shu-hengzhe-heng-shupie-na
瘘 dian-heng-shupie-dian-ti-dian-pie-heng-shu-pie-na-piedian-pie-heng
构 heng-shu-pie-dian-pie-hengzhegou-piezhe-dian
梆 heng-shu-pie-dian-heng-heng-heng-shupie-hengpiewangou-shu
消 dian-dian-ti-shu-dian-pie-shu-hengzhegou-heng-heng
儋 pie-shu-pie-hengpie-heng-shupie-pie-dian-dian-heng-heng-heng-shu-hengzhe-heng
⺊ shu-heng
刍 pie-hengpie-hengzhe-heng-heng
厌 heng-shupie-heng-shupie-na-dian
咎 pie-hengpie-na-shu-dian-shu-hengzhe-heng
堑 heng-piezhe-shu-ti-pie-shupie-heng-shu-heng-shu-heng
媒 piedian-pie-heng-heng-shu-shu-heng-heng-heng-shu-pie-na
帕 shu-hengzhegou-shu-pie-shu-hengzhegou-heng-heng
悖 zuodian-dian-shu-heng-shu-zuodian-henggou-hengpie-shugou-heng
濮 dian-dian-ti-pie-shu-shu-shu-dian-pie-heng-dian-pie-heng-heng-heng-shupie-na
伟 pie-shu-heng-heng-hengzhegou-shu
倡 pie-shu-shu-hengzhe-heng-heng-shu-hengzhe-heng-heng
冠 zuodian-henggou-heng-heng-pie-shuwangou-heng-shugou-dian
唣 shu-hengzhe-heng-pie-shu-hengzhe-heng-heng-heng-shuwangou
劢 heng-hengzhegou-pie-hengzhegou-shupie
瘥 dian-heng-shupie-dian-ti-dian-pie-heng-heng-heng-pie-heng-shu-heng
垤 heng-shu-ti-heng-piezhe-dian-heng-shu-heng
狰 pie-wangou-pie-pie-hengpie-hengzhe-heng-heng-shugou
渝 dian-dian-ti-pie-na-heng-shu-hengzhegou-heng-heng-shu-shugou
愫 zuodian-dian-shu-heng-heng-shu-heng-piezhe-piezhe-dian-shugou-zuodian-dian
痲 dian-heng-shupie-dian-ti-heng-shu-pie-dian-heng-shu-pie-shuwangou
掬 heng-shugou-ti-pie-hengzhegou-dian-pie-heng-shu-pie-dian
术 heng-shu-pie-na-dian
撮 heng-shugou-ti-shu-hengzhe-heng-heng-heng-shu-shu-heng-heng-ti-hengpie-na
栱 heng-shu-pie-dian-heng-shu-shu-heng-pie-dian
洳 dian-dian-ti-piedian-pie-heng-shu-hengzhe-heng
丵 shu-shu-dian-pie-heng-dian-pie-heng-heng-shu
猷 dian-pie-heng-shu-hengzhegou-pie-shuwan-heng-heng-heng-shupie-na-dian
吹 shu-hengzhe-heng-pie-henggou-pie-na
疸 dian-heng-shupie-dian-ti-shu-hengzhe-heng-heng-heng
皺 pie-hengzhegou-shuzhe-shu-pie-pie-hengzhegou-shuzhe-shu-pie-henggou-shupie-shu-hengpie-na
疳 dian-heng-shupie-dian-ti-heng-shu-shu-heng-heng
眳 shu-hengzhegou-heng-heng-heng-pie-hengpie-dian-shu-hengzhe-heng
恁 pie-shu-pingpie-heng-shu-heng-zuodian-wogou-dian-dian
敃 hengzhe-heng-shuti-heng-xiegou-pie-heng-pie-na
拂 heng-shugou-ti-hengzhe-heng-shuzhezhegou-shupie-shu
柄 heng-shu-pie-dian-heng-shu-hengzhegou-pie-dian
歇 shu-hengzhe-heng-heng-pie-hengzhegou-pie-dian-shuzhe-pie-henggou-pie-na
汉 dian-dian-ti-hengpie-na
献 heng-shu-shu-hengzhegou-dian-pie-heng-heng-shu-heng-shupie-na-dian
克 heng-shu-shu-hengzhe-heng-pie-shuwangou
今 pie-na-dian-hengpie
前 dian-pie-heng-shu-hengzhegou-heng-heng-shu-shugou
双 hengpie-dian-hengpie-na
坏 heng-shu-ti-heng-pie-shu-dian
哎 shu-hengzhe-heng-heng-shu-pie-pie-na
塑 dian-pie-heng-shuzhe-shu-shupie-shupie-hengzhegou-heng-heng-heng-shu-heng
姐 piedian-pie-heng-shu-hengzhe-heng-heng-heng
嫒 piedian-pie-heng-pingpie-dian-dian-pie-zuodian-henggou-heng-pie-hengpie-na
幕 heng-shu-pie-shu-hengzhe-heng-heng-heng-pie-na-shu-hengzhegou-shu
楛 heng-shu-pie-dian-shu-heng-pie-heng-heng-shu-shu-hengzhe-heng
曚 shu-hengzhe-heng-heng-shu-heng-pie-heng-zuodian-henggou-heng-heng-pie-wangou-pie-pie-pie-na
湍 dian-dian-ti-shu-shuzhe-shu-heng-pie-shu-hengzhegou-shu-shu
佟 pie-shu-pie-hengpie-na-dian-dian
泞 dian-dian-ti-dian-zuodian-henggou-heng-shugou
几 shupie-hengzhewangou
勢 heng-shu-heng-pie-dian-heng-shu-heng-shupie-hengzhexiegou-dian-hengzhegou-pie
噥 shu-hengzhe-heng-shu-hengzhe-heng-shu-shu-heng-heng-pie-heng-heng-shuti-pie-na
埤 heng-shu-ti-pie-shu-hengzhe-heng-heng-shupie-heng-shu
巨 heng-hengzhe-heng-shuzhe
慫 pie-pie-shu-pie-dian-pie-dian-shu-heng-pie-na-zuodian-wogou-dian-dian
廪 dian-heng-shupie-dian-heng-shu-hengzhe-shu-hengzhe-heng-heng-heng-heng-pie-pie-dian
扭 heng-shugou-ti-hengzhe-shu-heng-heng
杯 heng-shu-pie-dian-heng-pie-shu-dian
炻 dian-pie-shupie-dian-heng-pie-shu-hengzhe-heng
卷 dian-pie-heng-heng-pie-na-hengzhegou-shuwangou
瞧 shu-hengzhe-heng-heng-heng-pie-shu-dian-heng-heng-heng-shu-heng-zuodian-dian-dian-dian
固 shu-hengzhegou-heng-shu-shu-hengzhe-heng-heng
导 hengzhe-heng-shuwangou-heng-shuzhe-dian
彿 pie-pie-shu-hengzhe-heng-shuzhezhegou-shupie-shu
湔 dian-dian-ti-dian-pie-heng-shu-hengzhegou-heng-heng-shu-shugou
戀 piezhe-piezhe-dian-dian-dian-dian-dian-heng-heng-heng-shu-hengzhe-heng-piezhe-piezhe-dian-dian-dian-dian-zuodian-wogou-dian-dian
侉 pie-shu-heng-pie-na-heng-heng-shuzhezhegou
丈 heng-shupie-na
犋 pie-heng-shu-ti-shu-hengzhe-heng-heng-heng-heng-pie-dian
珤 heng-heng-shu-ti-pie-heng-heng-shu-shuzhe-shu
再 heng-shu-hengzhegou-shu-heng-heng
倌 pie-shu-dian-zuodian-henggou-shu-hengzhe-heng-hengzhe-heng
咏 shu-hengzhe-heng-dian-hengzhegou-hengpie-pie-na
库 dian-heng-shupie-heng-piezhe-heng-shu
尔 pie-henggou-shugou-zuodian-dian
挖 heng-shugou-ti-dian-zuodian-henggou-pie-dian-hengzhewangou
爪 pingpie-shupie-shu-na
沟 dian-dian-ti-pie-hengzhegou-piezhe-dian
伞 pie-na-dian-pie-heng-shu
玡 heng-heng-shu-ti-heng-shuzhe-shugou-pie
删 shupie-hengzhegou-shupie-hengzhegou-heng-shu-shugou
嚣 shu-hengzhe-heng-shu-hengzhe-heng-heng-pie-shu-hengzhe-pie-dian-shu-hengzhe-heng-shu-hengzhe-heng
焢 zuodian-pie-shupie-dian-dian-zuodian-henggou-pie-shuwan-heng-shu-heng
疥 dian-heng-shupie-dian-ti-pie-na-pie-shu
復 pie-pie-shu-pie-heng-shu-hengzhe-heng-heng-pie-hengpie-na
披 heng-shugou-ti-henggou-shupie-shu-hengpie-na
爆 zuodian-pie-shupie-dian-shu-hengzhe-heng-heng-heng-shu-shu-heng-pie-na-shugou-dian-ti-pie-dian
朮 heng-shu-pie-shuwangou-dian
⺳ zuodian-henggou-pie-shuwan
溲 dian-dian-ti-pie-shu-heng-hengzhe-heng-heng-shu-hengpie-na
涵 dian-dian-ti-hengpie-shugou-dian-ti-pie-dian-shuzhe-shu
水 shugou-hengpie-pie-na
傷 pie-shu-pie-heng-shu-hengzhe-heng-heng-heng-pie-hengzhegou-pie-pie
猶 pie-wangou-pie-dian-pie-heng-shu-hengzhegou-shu-shuwan-heng-heng
嘸 shu-hengzhe-heng-pie-heng-heng-shu-shu-shu-shu-heng-zuodian-dian-dian-dian
町 shu-hengzhegou-heng-shu-heng-heng-shugou
岿 shu-shuzhe-shu-shu-shupie-hengzhe-heng-heng
所 pie-shupie-hengzhe-heng-pingpie-shupie-heng-shu
琊 heng-heng-shu-ti-heng-shuzhe-shugou-pie-hengpiewangou-shu
旅 dian-heng-hengzhegou-pie-pie-heng-pie-shuti-pie-na
